Bi_grams,Frequency
"('N_NN', 'N_NN')",17422
"('N_NN', 'RD_PUNC')",7055
"('V_VM_VF', 'RD_PUNC')",6390
"('N_NN', 'V_VM_VNF')",6188
"('RD_PUNC', 'N_NN')",5356
"('N_NN', 'V_VM_VF')",3847
"('V_VM_VNF', 'N_NN')",3549
"('PR_PRP', 'N_NN')",2535
"('V_VM_VNF', 'RD_PUNC')",2154
"('JJ', 'N_NN')",1994
"('RD_PUNC', 'RD_PUNC')",1831
"('QT_QTC', 'N_NN')",1620
"('N_NNP', 'RD_PUNC')",1478
"('RD_PUNC', 'N_NNP')",1449
"('QT_QTC', 'RD_PUNC')",1351
"('N_NN', 'RB')",1292
"('N_NN', 'PSP')",1215
"('N_NN', 'QT_QTC')",1192
"('N_NNP', 'N_NN')",1182
"('V_VM_VINF', 'N_NN')",1135
"('N_NN', 'PR_PRP')",1079
"('DM_DMD', 'N_NN')",984
"('N_NN', 'V_VM_VINF')",982
"('N_NN', 'JJ')",852
"('V_VM_VNF', 'V_VM_VNF')",785
"('PSP', 'N_NN')",753
"('RB', 'V_VM_VNF')",746
"('N_NST', 'N_NN')",727
"('RD_PUNC', 'QT_QTC')",723
"('RD_SYM', 'N_NN')",720
"('RB', 'V_VM_VF')",711
"('RB', 'N_NN')",647
"('V_VM_VNF', 'PR_PRP')",641
"('RD_PUNC', 'PR_PRP')",635
"('N_NN', 'N_NST')",633
"('N_NN', 'RD_SYM')",611
"('N_NN', 'N_NNP')",604
"('V_VM_VNF', 'V_VM_VF')",582
"('DM_DMR', 'N_NN')",560
"('CC_CCD', 'N_NN')",554
"('PR_PRP', 'V_VM_VNF')",502
"('N_NN', 'RP_RPD')",454
"('V_VM_VNF', 'V_VAUX')",450
"('N_NNP', 'N_NNP')",446
"('QT_QTF', 'N_NN')",437
"('V_VAUX', 'RD_PUNC')",409
"('RP_RPD', 'N_NN')",391
"('N_NN', 'CC_CCD')",368
"('N_NN', 'V_VM_VNG')",339
"('RD_PUNC', 'V_VM_VNF')",337
"('DM_DMQ', 'N_NN')",335
"('QT_QTC', 'RD_SYM')",323
"('N_NN', 'DM_DMQ')",310
"('N_NST', 'V_VM_VNF')",285
"('QT_QTC', 'QT_QTC')",280
"('N_NN', 'QT_QTF')",264
"('PSP', 'V_VM_VNF')",264
"('PR_PRP', 'V_VM_VF')",258
"('RD_SYM', 'QT_QTC')",238
