,Five_grams,Frequency
0,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",1066
1,"('RD_PUNC', 'RD_PUNC', 'RD_PUNC', 'RD_PUNC', 'RD_PUNC')",837
2,"('N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",660
3,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",653
4,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC')",475
5,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",424
6,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",379
7,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",371
8,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",360
9,"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",355
10,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",343
11,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'N_NN')",324
12,"('RD_PUNC', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",297
13,"('N_NN', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",296
14,"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",271
15,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",269
16,"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",256
17,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",236
18,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC')",226
19,"('RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",214
20,"('N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NN')",212
21,"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",188
22,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",185
23,"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",175
24,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",172
25,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VF', 'RD_PUNC')",170
26,"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NN', 'RD_PUNC')",168
27,"('N_NN', 'N_NN', 'RB', 'V_VM_VF', 'RD_PUNC')",165
28,"('N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",150
29,"('V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",144
30,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNF')",142
31,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN')",138
32,"('RD_PUNC', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",137
33,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",136
34,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN', 'RD_PUNC')",129
35,"('N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NNP')",129
36,"('N_NNP', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NNP')",129
37,"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN')",122
38,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",115
39,"('N_NNP', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",115
40,"('N_NN', 'N_NN', 'JJ', 'N_NN', 'N_NN')",112
41,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VF')",110
42,"('N_NN', 'V_VM_VINF', 'N_NN', 'N_NN', 'N_NN')",108
43,"('JJ', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",103
44,"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",101
45,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",100
46,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VAUX', 'RD_PUNC')",99
47,"('PR_PRP', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",99
48,"('QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",98
49,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VF', 'RD_PUNC')",98
50,"('N_NN', 'JJ', 'N_NN', 'N_NN', 'N_NN')",97
51,"('N_NN', 'N_NN', 'N_NN', 'JJ', 'N_NN')",94
52,"('JJ', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",93
53,"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NN', 'N_NN')",93
54,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VF')",92
55,"('N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN', 'N_NN')",91
56,"('N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NNP')",90
57,"('N_NN', 'V_VM_VNF', 'N_NN', 'RD_PUNC', 'N_NN')",89
58,"('N_NN', 'N_NN', 'PSP', 'N_NN', 'N_NN')",89
59,"('N_NN', 'N_NN', 'N_NN', 'PSP', 'N_NN')",88
60,"('N_NN', 'N_NN', 'V_VM_VINF', 'N_NN', 'N_NN')",87
61,"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",87
62,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",87
63,"('V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",87
64,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'RD_PUNC')",85
65,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN')",84
66,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VINF', 'N_NN')",84
67,"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF')",84
68,"('N_NN', 'PSP', 'N_NN', 'N_NN', 'N_NN')",82
69,"('N_NNP', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",81
70,"('N_NNP', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NN')",81
71,"('RD_PUNC', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",80
72,"('N_NN', 'N_NN', 'N_NN', 'QT_QTC', 'N_NN')",78
73,"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",78
74,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VF')",78
75,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",77
76,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'RB')",77
77,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",77
78,"('N_NN', 'PR_PRP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",76
79,"('N_NNP', 'RD_PUNC', 'QT_QTC', 'RD_PUNC', 'RD_PUNC')",76
80,"('N_NN', 'N_NN', 'QT_QTC', 'N_NN', 'N_NN')",76
81,"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",74
82,"('QT_QTC', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",74
83,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'N_NN')",73
84,"('N_NN', 'JJ', 'N_NN', 'V_VM_VF', 'RD_PUNC')",73
85,"('N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN', 'RD_PUNC')",72
86,"('N_NN', 'N_NN', 'N_NN', 'RB', 'V_VM_VF')",71
87,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",71
88,"('RD_PUNC', 'RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",70
89,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",68
90,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",68
91,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",67
92,"('N_NN', 'N_NN', 'V_VM_VNF', 'PR_PRP', 'N_NN')",67
93,"('N_NN', 'N_NN', 'N_NN', 'PR_PRP', 'N_NN')",65
94,"('N_NN', 'QT_QTC', 'N_NN', 'N_NN', 'N_NN')",65
95,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NNP', 'N_NN')",65
96,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",64
97,"('V_VM_VINF', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",64
98,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'N_NN')",64
99,"('N_NN', 'N_NN', 'N_NN', 'RB', 'V_VM_VNF')",63
100,"('N_NN', 'RB', 'N_NN', 'V_VM_VF', 'RD_PUNC')",63
101,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",63
102,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'QT_QTC')",62
103,"('N_NN', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NNP')",61
104,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'PSP')",60
105,"('N_NN', 'PSP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",60
106,"('N_NNP', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NNP')",60
107,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN', 'RD_PUNC')",59
108,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",59
109,"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",58
110,"('N_NN', 'PR_PRP', 'N_NN', 'N_NN', 'N_NN')",58
111,"('V_VM_VINF', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",57
112,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",57
113,"('N_NN', 'N_NN', 'RB', 'V_VM_VNF', 'N_NN')",56
114,"('PR_PRP', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",56
115,"('N_NN', 'QT_QTC', 'N_NN', 'V_VM_VF', 'RD_PUNC')",56
116,"('RD_PUNC', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",56
117,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN')",56
118,"('N_NN', 'N_NN', 'CC_CCD', 'N_NN', 'N_NN')",55
119,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN')",55
120,"('QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",55
121,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",55
122,"('N_NNP', 'RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",55
123,"('N_NNP', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",55
124,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",54
125,"('N_NN', 'N_NN', 'PR_PRP', 'N_NN', 'N_NN')",54
126,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",53
127,"('N_NN', 'QT_QTC', 'N_NN', 'RD_PUNC', 'N_NN')",53
128,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF')",52
129,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'JJ')",51
130,"('RB', 'V_VM_VNF', 'N_NN', 'N_NN', 'N_NN')",51
131,"('N_NN', 'RD_PUNC', 'N_NN', 'QT_QTC', 'N_NN')",51
132,"('N_NN', 'N_NN', 'V_VM_VNF', 'JJ', 'N_NN')",50
133,"('N_NN', 'RB', 'V_VM_VNF', 'N_NN', 'N_NN')",50
134,"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VF')",50
135,"('N_NN', 'RD_SYM', 'N_NN', 'RD_SYM', 'N_NN')",49
136,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'PR_PRP')",49
137,"('N_NN', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",49
138,"('QT_QTC', 'RD_PUNC', 'QT_QTC', 'RD_PUNC', 'QT_QTC')",49
139,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NN')",49
140,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",49
141,"('N_NN', 'N_NN', 'PR_PRP', 'N_NN', 'V_VM_VNF')",48
142,"('RD_PUNC', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",48
143,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",48
144,"('PR_PRP', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",48
145,"('N_NN', 'V_VM_VINF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",47
146,"('V_VM_VNF', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",47
