Four_grams,Frequency
"('N_NN', 'N_NN', 'N_NN', 'N_NN')",2609
"('N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",1646
"('N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC')",988
"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",976
"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",970
"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",961
"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",956
"('N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",909
"('N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",902
"('RD_PUNC', 'RD_PUNC', 'RD_PUNC', 'RD_PUNC')",868
"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",802
"('RD_PUNC', 'N_NN', 'N_NN', 'N_NN')",732
"('N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",655
"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN')",511
"('N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",502
"('RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",456
"('V_VM_VNF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",427
"('N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",378
"('N_NN', 'RB', 'V_VM_VF', 'RD_PUNC')",375
"('N_NN', 'V_VM_VNF', 'V_VM_VF', 'RD_PUNC')",373
"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",353
"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NN')",345
"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",334
"('N_NN', 'V_VM_VNF', 'N_NN', 'RD_PUNC')",300
"('JJ', 'N_NN', 'N_NN', 'N_NN')",284
"('PR_PRP', 'N_NN', 'N_NN', 'N_NN')",280
"('PR_PRP', 'N_NN', 'V_VM_VF', 'RD_PUNC')",279
"('N_NN', 'JJ', 'N_NN', 'N_NN')",276
"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VF')",271
"('N_NNP', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",267
"('N_NN', 'N_NN', 'JJ', 'N_NN')",262
"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NNP')",253
"('QT_QTC', 'RD_PUNC', 'N_NN', 'N_NN')",249
"('N_NN', 'V_VM_VINF', 'N_NN', 'N_NN')",248
"('N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",233
"('N_NN', 'V_VM_VNF', 'V_VAUX', 'RD_PUNC')",231
"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF')",231
"('N_NN', 'N_NN', 'V_VM_VINF', 'N_NN')",230
"('N_NN', 'N_NN', 'PSP', 'N_NN')",222
"('V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNF')",221
"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NNP')",220
"('QT_QTC', 'N_NN', 'N_NN', 'N_NN')",218
"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN')",218
"('N_NN', 'PSP', 'N_NN', 'N_NN')",214
"('N_NN', 'N_NN', 'QT_QTC', 'N_NN')",211
"('N_NNP', 'RD_PUNC', 'N_NN', 'RD_PUNC')",208
"('N_NN', 'N_NN', 'N_NN', 'RB')",204
"('JJ', 'N_NN', 'V_VM_VF', 'RD_PUNC')",204
"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN')",194
"('N_NN', 'QT_QTC', 'N_NN', 'N_NN')",193
"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",191
"('N_NN', 'V_VM_VNF', 'PR_PRP', 'N_NN')",191
"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN')",189
"('N_NNP', 'N_NN', 'N_NN', 'N_NN')",188
"('N_NN', 'N_NN', 'N_NN', 'PSP')",188
"('N_NN', 'N_NN', 'PR_PRP', 'N_NN')",187
"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",186
"('N_NN', 'N_NN', 'RD_PUNC', 'N_NNP')",182
