,Tri_grams,Frequency
0,"('N_NN', 'N_NN', 'N_NN')",6649
1,"('N_NN', 'V_VM_VF', 'RD_PUNC')",3829
2,"('N_NN', 'RD_PUNC', 'N_NN')",2818
3,"('N_NN', 'N_NN', 'V_VM_VNF')",2547
4,"('N_NN', 'N_NN', 'RD_PUNC')",2472
5,"('N_NN', 'V_VM_VNF', 'N_NN')",2194
6,"('RD_PUNC', 'N_NN', 'N_NN')",1979
7,"('N_NN', 'N_NN', 'V_VM_VF')",1651
8,"('RD_PUNC', 'N_NN', 'RD_PUNC')",1622
9,"('V_VM_VNF', 'N_NN', 'N_NN')",1278
10,"('N_NN', 'V_VM_VNF', 'RD_PUNC')",1261
11,"('RD_PUNC', 'RD_PUNC', 'RD_PUNC')",926
12,"('PR_PRP', 'N_NN', 'N_NN')",887
13,"('RD_PUNC', 'N_NNP', 'RD_PUNC')",876
14,"('JJ', 'N_NN', 'N_NN')",794
15,"('RB', 'V_VM_VF', 'RD_PUNC')",711
16,"('N_NN', 'JJ', 'N_NN')",696
17,"('N_NN', 'RD_PUNC', 'N_NNP')",642
18,"('N_NN', 'V_VM_VINF', 'N_NN')",637
19,"('QT_QTC', 'N_NN', 'N_NN')",606
20,"('N_NN', 'PR_PRP', 'N_NN')",581
21,"('V_VM_VNF', 'V_VM_VF', 'RD_PUNC')",579
22,"('N_NN', 'QT_QTC', 'N_NN')",578
23,"('V_VM_VNF', 'RD_PUNC', 'N_NN')",553
24,"('N_NN', 'N_NN', 'RB')",542
25,"('N_NN', 'PSP', 'N_NN')",542
26,"('V_VM_VNF', 'N_NN', 'V_VM_VNF')",522
27,"('V_VM_VNF', 'N_NN', 'RD_PUNC')",521
28,"('QT_QTC', 'RD_PUNC', 'N_NN')",517
29,"('N_NNP', 'RD_PUNC', 'N_NN')",505
30,"('RD_PUNC', 'N_NN', 'V_VM_VNF')",497
31,"('N_NN', 'N_NN', 'PSP')",490
32,"('N_NN', 'RD_PUNC', 'RD_PUNC')",485
33,"('N_NN', 'V_VM_VNF', 'V_VM_VNF')",484
