,Uni_grams,Frequency
0,N_NN,45540
1,RD_PUNC,12161
2,V_VM_VNF,10136
3,V_VM_VF,6419
4,PR_PRP,4837
5,QT_QTC,4113
6,N_NNP,3914
7,RB,2772
8,JJ,2373
9,PSP,1831
10,N_NST,1824
11,V_VM_VINF,1696
12,RD_SYM,1480
13,DM_DMD,1172
14,RP_RPD,1107
15,CC_CCD,1072
16,DM_DMQ,949
17,DM_DMR,712
18,QT_QTF,679
19,V_VM_VNG,493
20,V_VAUX,487
21,RP_INTF,408
22,CC_CCS_UT,343
23,RP_NEG,164
24,QT_QTO,134
25,CC_CCS,110
26,RP_CL,67
27,RP_INJ,48
28,RD_UNK,40
29,PR_PRL,21
30,NN,17
31,,8
32,RD_ECH,3
33,PR_PRQ,2
34,PR_PRC,1
